item,rid,stratum,c_infl,n_infl2,c_link,n_link2,c_foreign,n_foreign2,register,n_register2
R001,11689,core: justice,1,1,1,1,0,1,justice,institution
R002,11740,core: justice,1,0,1,0,0,0,justice,none
R005,83495,core: other,1,1,1,0,0,0,other,none
R007,90627,core: other,1,1,1,1,0,0,other,devotional
R010,115961,core: charity,1,1,1,1,0,0,charity,institution
R011,118966,core: other,1,0,1,0,0,0,other,none
R012,119019,core: other,1,1,1,1,0,0,other,justice
R016,119902,core: devotional,1,1,1,1,0,0,devotional,crl
R017,119934,core: devotional,1,1,1,1,0,0,devotional,justice
R018,119963,core: justice,1,1,1,1,0,0,justice,institution
R024,127308,core: institution,1,1,1,1,0,0,institution,charity
R025,127452,core: institution,1,1,1,1,0,0,institution,charity
R026,127487,core: institution,1,1,1,1,0,0,institution,charity
R028,131479,not linked,1,1,0,1,0,0,none,devotional
R031,144784,core: charity,1,1,1,1,0,0,charity,justice
R032,148754,core: other,1,1,1,1,0,0,other,justice
R036,154471,disputed,1,1,1,0,0,0,disputed,none
R037,156669,core: devotional,1,1,1,1,0,0,devotional,institution
R040,160638,core: institution,1,1,1,1,0,0,institution,devotional
R041,164797,not linked,1,1,0,1,0,1,none,justice
R058,179270,core: justice,1,1,1,1,0,1,justice,institution
R061,183706,core: charity,1,1,1,1,0,1,charity,charity
R062,184374,core: institution,1,1,1,1,0,0,institution,crl
R067,208890,core: justice,1,1,1,1,0,1,justice,justice
R070,217193,not linked,1,1,0,1,0,0,none,crl
R075,244042,"linked, foreign",1,1,1,1,1,1,other,institution
R077,244774,core: crl,1,1,1,1,0,0,crl,institution
R078,245327,core: devotional,1,1,1,1,0,0,devotional,justice
R082,256548,core: crl,1,1,1,1,0,1,crl,crl
R083,257945,core: institution,1,1,1,1,0,0,institution,crl
R104,344238,core: justice,1,1,1,1,0,0,justice,institution
R106,352751,core: justice,1,1,1,1,0,0,justice,devotional
R113,370460,"linked, foreign",1,1,1,1,1,1,justice,institution
R114,370741,"linked, foreign",1,1,1,1,1,1,justice,institution
R126,455701,core: justice,1,1,1,0,0,0,justice,none
R135,508507,core: institution,1,1,1,1,0,0,institution,devotional
R136,508732,core: institution,1,1,1,1,0,0,institution,devotional
R151,628484,disputed,1,1,1,0,0,0,disputed,none
R152,628521,disputed,1,1,1,0,0,0,disputed,none
R158,666830,disputed,0,1,1,1,0,0,disputed,crl
R162,679840,not linked,0,1,1,1,0,0,other,crl
